field,x_utm33n_m_centered,y_utm33n_m_centered
Malta Plateau,477.1,1528.2
Malta Plateau,482.5,2125.2
Malta Plateau,502.5,1262.4
Malta Plateau,504.4,2019.7
Malta Plateau,511.6,872.7
Malta Plateau,520.8,657.9
Malta Plateau,573.5,2361.9
Malta Plateau,589.9,1451.7
Malta Plateau,604.5,1003.9
Malta Plateau,626.3,1200.4
Malta Plateau,635.4,2096.2
Malta Plateau,637.3,1702.9
Malta Plateau,701.0,2168.9
Malta Plateau,751.9,2329.2
Malta Plateau,777.4,2412.9
Malta Plateau,788.4,2536.7
Malta Plateau,792.0,2074.2
Malta Plateau,797.4,1564.4
Malta Plateau,801.1,2736.9
Malta Plateau,810.2,1954.2
Malta Plateau,830.2,2966.2
Malta Plateau,853.9,2307.2
Malta Plateau,875.7,2026.9
Malta Plateau,897.6,2390.9
Malta Plateau,899.4,2820.7
Malta Plateau,901.2,1917.7
Malta Plateau,946.7,3272.2
Malta Plateau,966.7,2358.2
Malta Plateau,1005.0,2995.4
Malta Plateau,1008.6,3464.9
Malta Plateau,1015.9,2762.4
Malta Plateau,1023.2,3177.4
Malta Plateau,1025.0,2471.2
Malta Plateau,1074.1,2682.2
Malta Plateau,1074.1,3555.9
Malta Plateau,1074.1,3708.9
Malta Plateau,1094.2,2365.4
Malta Plateau,1099.6,3854.7
Malta Plateau,1114.2,3366.7
Malta Plateau,1139.7,3257.4
Malta Plateau,1145.1,2474.7
Malta Plateau,1179.7,2562.2
Malta Plateau,1190.6,4029.4
Malta Plateau,1201.6,2674.9
Malta Plateau,1245.3,3788.9
Malta Plateau,1248.9,3636.2
Malta Plateau,1270.8,3126.4
Malta Plateau,1270.8,3310.2
Malta Plateau,1339.9,3454.2
Malta Plateau,1361.8,3108.2
Malta Plateau,1423.7,4680.9
Malta Plateau,1445.5,3821.9
Malta Plateau,1525.6,4375.2
Malta Plateau,1532.9,3472.2
Malta Plateau,1543.8,4298.7
Malta Plateau,1613.0,4291.4
Malta Plateau,1702.2,4708.4
Malta Plateau,1704.0,3930.9
