r_m,g_r
126.9,18.7923
211.6,23.2644
296.2,16.4135
380.8,18.713
465.5,14.1429
550.1,13.0649
634.7,12.5123
719.4,11.586
804.0,10.3289
888.6,8.6655
973.2,9.6495
1057.9,8.3067
1142.5,7.7706
1227.1,8.1452
