r_m,g_r
61.9,9.7612
103.2,24.2636
144.5,21.7137
185.8,19.6774
227.1,19.3957
268.4,16.7335
309.7,15.8039
351.0,14.9289
392.2,13.4308
433.5,11.8197
474.8,11.2163
516.1,10.0959
557.4,9.3997
598.7,8.3668
