k_over_krho,S_k
0.0667,12.8528
0.2,2.4837
0.3333,0.7442
0.4667,0.74
0.6,0.6264
0.7333,0.7157
0.8667,0.732
1.0,0.8112
1.1333,0.8742
1.2667,0.8984
1.4,0.9073
1.5333,0.9471
1.6667,1.1366
1.8,1.0945
1.9333,1.0886
2.0667,1.0474
2.2,1.08
2.3333,1.0627
2.4667,1.0074
2.6,0.9645
2.7333,0.9214
2.8667,1.0845
3.0,0.9558
3.1333,0.943
3.2667,1.0007
3.4,1.027
3.5333,1.0565
3.6667,1.0478
3.8,1.091
3.9333,1.0147
