k_over_krho,S_k
0.0667,4.5909
0.2,2.3217
0.3333,0.7029
0.4667,1.254
0.6,0.7124
0.7333,0.5885
0.8667,0.8603
1.0,0.7679
1.1333,0.8416
1.2667,0.8042
1.4,0.8945
1.5333,0.8969
1.6667,0.9113
1.8,0.905
1.9333,0.8408
2.0667,1.0205
2.2,0.9919
2.3333,1.0628
2.4667,1.0785
2.6,0.9398
2.7333,1.0339
2.8667,0.9913
3.0,1.0298
3.1333,0.996
3.2667,0.973
3.4,1.0984
3.5333,1.0563
3.6667,1.0662
3.8,0.9825
3.9333,0.9908
